CE_Age,CE_Language,CE_Experties,CE_Total_Handled_Leads,CE_Successful_Leads,C_Language,C_Timeperiod_months,C_Field,C_Times_Call,C_Products_Subscribed,C_Premium_Products_Subscribed,C_Call_On_Same_Topic,C_Default_Premium,Call_Duration_Sec,Converted
47,English,"['Car Insurance', 'Education Insurance', 'Life Insurance']",83,7,English,6,Education Insurance,29.08617843,7,4,3,3,607.8586719,0
22,English,['Car Insurance'],62,4,English,3,Life Insurance,24.18879609,8,4,4,0,619.8782668,1
33,Urdu,"['Car Insurance', 'Education Insurance']",42,2,Urdu,9,Home Insurance,28.32623253,8,2,2,0,557.4002445,0
39,Hindi,"['Home Insurance', 'Health Insurance']",38,1,Hindi,25,Life Insurance,25.57154803,5,3,4,2,567.9940166,1
21,Telgu,['Education Insurance'],55,3,Telgu,0,Car Insurance,31.45367531,15,9,9,3,459.1775569,0
28,Hindi,['Car Insurance'],22,1,Hindi,4,Home Insurance,34.04695119,14,8,6,4,234.0386207,0
38,English,"['Life Insurance', 'Health Insurance']",42,3,English,3,Home Insurance,18.1954693,3,1,0,4,602.0439432,0
21,Telgu,['Home Insurance'],39,1,Telgu,13,Life Insurance,21.43407885,9,2,2,1,404.8267345,0
35,Urdu,"['Life Insurance', 'Health Insurance']",40,2,Urdu,26,Life Insurance,29.25223261,9,4,2,0,310.2517538,0
49,Marathi,"['Health Insurance', 'Education Insurance', 'Life Insurance']",44,3,Marathi,7,Car Insurance,24.72176909,7,3,2,0,616.9356509,0
29,Hindi,['Car Insurance'],69,4,Hindi,14,Home Insurance,19.88770262,1,0,0,0,372.7039105,0
35,Telgu,"['Home Insurance', 'Health Insurance']",58,2,Telgu,12,Health Insurance,20.53733969,7,2,4,2,526.9912802,1
34,Telgu,"['Car Insurance', 'Home Insurance']",47,1,Telgu,44,Education Insurance,29.88350557,5,4,3,3,404.7117089,0
48,Marathi,"['Car Insurance', 'Education Insurance', 'Life Insurance']",68,2,Marathi,13,Car Insurance,23.95571647,6,2,4,4,605.733623,0
33,Telgu,"['Health Insurance', 'Education Insurance']",73,3,Telgu,38,Education Insurance,32.12534454,14,8,5,0,322.5876249,1
24,Hindi,['Education Insurance'],50,1,Hindi,18,Education Insurance,26.7204684,5,3,3,3,556.8087528,0
43,Marathi,"['Health Insurance', 'Car Insurance', 'Life Insurance']",83,2,Marathi,28,Education Insurance,27.85150008,5,4,2,2,526.7115514,0
38,English,"['Education Insurance', 'Life Insurance']",75,5,English,32,Home Insurance,26.45974005,7,3,2,1,557.546506,0
42,Telgu,"['Life Insurance', 'Home Insurance', 'Education Insurance']",48,1,Telgu,46,Health Insurance,29.40411598,6,2,3,0,457.5307809,0
39,Hindi,"['Life Insurance', 'Home Insurance']",69,3,Hindi,43,Health Insurance,18.52316849,2,1,0,1,529.9954436,0
39,Telgu,"['Life Insurance', 'Home Insurance']",67,4,Telgu,15,Education Insurance,20.98486688,7,3,2,1,558.603907,0
29,Telgu,['Health Insurance'],37,2,Telgu,7,Health Insurance,24.99271225,5,4,2,2,616.7657498,0
44,Telgu,"['Health Insurance', 'Education Insurance', 'Life Insurance']",89,4,Telgu,23,Life Insurance,25.45226009,9,4,4,3,438.1253528,0
20,Marathi,['Life Insurance'],71,6,Marathi,23,Life Insurance,22.28889889,9,2,2,0,513.5904004,0
46,English,"['Life Insurance', 'Home Insurance', 'Health Insurance']",66,5,English,21,Education Insurance,26.52441782,8,3,4,1,339.8983802,1
22,Telgu,['Home Insurance'],77,2,Telgu,47,Health Insurance,16.25597876,0,0,1,0,318.4257557,0
27,English,['Car Insurance'],96,4,English,4,Home Insurance,28.63630815,9,3,3,0,313.9804629,0
26,Hindi,['Health Insurance'],51,3,Hindi,36,Car Insurance,22.90658684,6,3,2,3,373.7109307,0
21,Marathi,['Health Insurance'],56,2,Marathi,40,Education Insurance,22.77715509,8,4,4,0,544.2293205,1
37,English,"['Education Insurance', 'Home Insurance']",39,2,English,34,Education Insurance,33.96107544,16,8,6,1,389.6850005,1
29,Marathi,['Health Insurance'],67,4,Marathi,21,Car Insurance,30.36966099,17,7,9,0,297.8632565,1
33,Marathi,"['Life Insurance', 'Health Insurance']",28,1,Marathi,33,Car Insurance,30.8436966,16,6,7,3,330.7986253,0
40,Hindi,"['Education Insurance', 'Home Insurance', 'Health Insurance']",36,2,Hindi,42,Life Insurance,20.19455916,7,3,3,4,415.1284035,0
43,Hindi,"['Life Insurance', 'Education Insurance', 'Health Insurance']",98,4,Hindi,44,Life Insurance,24.47045407,9,2,4,0,548.1537283,1
47,Urdu,"['Home Insurance', 'Health Insurance', 'Car Insurance']",74,6,Urdu,29,Education Insurance,25.78258533,6,3,2,0,615.1037334,0
24,English,['Life Insurance'],60,5,English,5,Health Insurance,25.68618715,9,3,2,1,412.7601541,0
40,Marathi,"['Home Insurance', 'Car Insurance', 'Education Insurance']",55,4,Marathi,6,Health Insurance,11.50499043,2,0,1,0,517.6364004,0
41,Hindi,"['Life Insurance', 'Home Insurance', 'Education Insurance']",93,3,Hindi,15,Life Insurance,22.89395563,5,4,3,1,449.4567504,0
34,Hindi,"['Health Insurance', 'Car Insurance']",92,1,Hindi,17,Health Insurance,24.97961492,8,4,3,3,334.8703036,0
37,Urdu,"['Car Insurance', 'Education Insurance']",52,3,Urdu,42,Health Insurance,32.79071315,10,9,7,1,286.1521533,1
25,Marathi,['Home Insurance'],96,6,Marathi,34,Health Insurance,19.78137364,3,1,0,0,472.5938197,0
36,Urdu,"['Health Insurance', 'Life Insurance']",69,1,Urdu,6,Health Insurance,14.94816685,2,0,1,0,412.4538624,0
29,Telgu,['Education Insurance'],32,1,Telgu,46,Car Insurance,19.99782386,4,0,1,1,510.7004299,0
38,English,"['Education Insurance', 'Health Insurance']",92,6,English,7,Home Insurance,32.01373754,10,5,5,4,495.4171958,0
41,Marathi,"['Car Insurance', 'Home Insurance', 'Health Insurance']",48,2,Marathi,26,Life Insurance,26.66442122,9,4,3,3,437.7719307,0
42,Hindi,"['Education Insurance', 'Life Insurance', 'Car Insurance']",32,1,Hindi,28,Life Insurance,23.9246326,9,4,4,0,285.7749569,1
37,English,"['Education Insurance', 'Health Insurance']",77,3,English,1,Education Insurance,25.36831301,8,3,4,0,496.3297399,1
35,Marathi,"['Health Insurance', 'Education Insurance']",36,2,Marathi,37,Education Insurance,22.29933209,8,4,3,1,361.319659,0
46,Urdu,"['Education Insurance', 'Life Insurance', 'Car Insurance']",75,6,Urdu,2,Car Insurance,37.96949359,19,5,8,1,365.5065214,1
21,Telgu,['Car Insurance'],61,1,Telgu,22,Home Insurance,29.57110173,8,4,4,1,520.0999265,1
32,Telgu,"['Health Insurance', 'Car Insurance']",21,1,Telgu,31,Life Insurance,28.99333885,6,3,2,0,496.3892203,0
46,English,"['Life Insurance', 'Health Insurance', 'Home Insurance']",49,2,English,18,Education Insurance,18.64927592,3,0,0,2,474.0054069,0
22,Hindi,['Life Insurance'],87,5,Hindi,37,Health Insurance,22.06172242,8,2,3,0,572.7381685,0
48,Urdu,"['Life Insurance', 'Education Insurance', 'Car Insurance']",66,5,Urdu,34,Car Insurance,18.46494815,0,1,1,0,331.1902472,0
28,Telgu,['Health Insurance'],58,2,Telgu,40,Car Insurance,30.26767885,14,8,9,0,325.3191561,1
21,Marathi,['Home Insurance'],46,1,Marathi,12,Car Insurance,28.30357524,9,3,2,0,460.5888072,0
41,English,"['Car Insurance', 'Life Insurance', 'Education Insurance']",30,1,English,15,Health Insurance,22.79667321,7,2,2,2,419.178801,0
42,Urdu,"['Car Insurance', 'Health Insurance', 'Life Insurance']",57,3,Urdu,37,Life Insurance,24.35667337,5,4,2,0,296.7866683,0
20,Urdu,['Education Insurance'],27,1,Urdu,27,Health Insurance,31.03100312,16,9,6,3,563.2563048,0
20,English,['Health Insurance'],29,1,English,16,Home Insurance,26.23867492,6,2,3,0,379.3060836,0
23,Hindi,['Car Insurance'],55,4,Hindi,40,Car Insurance,22.4934529,7,3,2,0,376.1871695,0
28,Marathi,['Education Insurance'],61,3,Marathi,31,Education Insurance,27.99687593,6,4,4,2,337.5572927,1
22,English,['Car Insurance'],66,2,English,22,Life Insurance,24.09082153,8,4,2,0,342.7185003,0
38,Marathi,"['Health Insurance', 'Education Insurance']",67,3,Marathi,26,Life Insurance,25.18427955,6,4,3,3,419.1396412,0
37,Marathi,"['Health Insurance', 'Education Insurance']",90,7,Marathi,22,Life Insurance,29.24442375,6,4,3,2,508.5913716,0
28,English,['Health Insurance'],87,7,English,13,Home Insurance,19.37845449,2,1,1,2,385.0695236,0
24,Urdu,['Life Insurance'],91,5,Urdu,34,Life Insurance,29.25217611,9,2,3,0,414.9469552,0
28,Telgu,['Home Insurance'],79,6,Telgu,44,Home Insurance,24.38262395,8,2,3,2,360.4995589,0
22,Telgu,['Car Insurance'],29,1,Telgu,17,Education Insurance,15.56223741,0,0,1,0,453.9212739,0
21,Urdu,['Health Insurance'],58,4,Urdu,35,Home Insurance,23.6751967,9,2,3,2,524.7164804,0
41,Telgu,"['Life Insurance', 'Home Insurance', 'Car Insurance']",65,4,Telgu,17,Life Insurance,23.97039182,6,2,4,0,479.2327659,1
44,Telgu,"['Home Insurance', 'Car Insurance', 'Life Insurance']",93,8,Telgu,28,Health Insurance,30.98425348,14,5,9,0,484.9473886,1
44,Urdu,"['Life Insurance', 'Education Insurance', 'Car Insurance']",30,1,Urdu,3,Car Insurance,26.23481877,9,4,4,0,501.4796246,1
31,Marathi,"['Car Insurance', 'Home Insurance']",46,2,Marathi,28,Education Insurance,27.6964685,5,4,4,3,413.0403032,0
28,English,['Home Insurance'],22,1,English,9,Car Insurance,17.97395702,3,1,1,3,400.1602462,0
35,Marathi,"['Car Insurance', 'Life Insurance']",47,1,Marathi,19,Health Insurance,22.40177761,8,4,3,3,401.1791759,0
28,Marathi,['Car Insurance'],81,4,Marathi,27,Health Insurance,25.13402603,8,2,2,3,640.9854948,0
24,Telgu,['Home Insurance'],71,6,Telgu,26,Education Insurance,30.98931415,19,6,7,3,502.2724444,0
28,Telgu,['Life Insurance'],42,1,Telgu,15,Health Insurance,14.2051013,2,0,1,1,506.0173429,0
38,English,"['Home Insurance', 'Education Insurance']",78,6,English,17,Car Insurance,30.90784078,16,5,9,0,361.2355926,1
40,English,"['Life Insurance', 'Car Insurance', 'Home Insurance']",47,2,English,34,Home Insurance,23.39562198,6,3,2,4,388.0491304,0
47,Urdu,"['Life Insurance', 'Home Insurance', 'Car Insurance']",60,4,Urdu,47,Education Insurance,26.96987442,5,3,4,4,552.4141701,0
21,Marathi,['Education Insurance'],67,4,Marathi,17,Education Insurance,33.91533453,15,6,5,0,427.0876594,1
39,Marathi,"['Car Insurance', 'Home Insurance']",81,1,Marathi,2,Car Insurance,18.34864437,3,0,0,0,507.0854526,0
44,Marathi,"['Car Insurance', 'Health Insurance', 'Education Insurance']",57,2,Marathi,26,Car Insurance,23.79986231,7,4,2,0,316.638937,0
39,Urdu,"['Home Insurance', 'Education Insurance']",71,2,Urdu,46,Life Insurance,25.9355876,5,3,3,0,459.1769109,0
46,Telgu,"['Life Insurance', 'Home Insurance', 'Education Insurance']",72,4,Telgu,5,Life Insurance,24.21830492,9,4,2,0,444.2293145,0
38,Marathi,"['Life Insurance', 'Education Insurance']",59,3,Marathi,36,Education Insurance,24.89701923,5,4,4,0,359.4620711,1
21,Marathi,['Health Insurance'],39,2,Marathi,38,Health Insurance,22.57690442,9,2,3,0,469.723603,0
31,Hindi,"['Home Insurance', 'Car Insurance']",91,5,Hindi,28,Health Insurance,16.80747729,4,1,0,1,290.4705318,0
35,Hindi,"['Life Insurance', 'Home Insurance']",41,3,Hindi,35,Life Insurance,32.97779226,10,7,9,0,567.394458,1
43,Urdu,"['Car Insurance', 'Home Insurance', 'Education Insurance']",72,1,Urdu,16,Health Insurance,26.9839765,8,4,4,0,523.3132301,1
44,Urdu,"['Car Insurance', 'Life Insurance', 'Home Insurance']",81,6,Urdu,35,Education Insurance,16.77000079,0,0,0,3,489.1875236,0
41,Hindi,"['Life Insurance', 'Education Insurance', 'Car Insurance']",40,2,Hindi,16,Education Insurance,24.92634235,7,3,3,0,496.444918,0
32,Telgu,"['Health Insurance', 'Home Insurance']",89,2,Telgu,15,Life Insurance,30.55839753,14,9,9,0,431.0093677,1
40,Urdu,"['Home Insurance', 'Car Insurance', 'Life Insurance']",86,3,Urdu,5,Life Insurance,26.03843091,6,2,4,0,475.082515,1
41,English,"['Education Insurance', 'Health Insurance', 'Life Insurance']",85,1,English,31,Life Insurance,32.5810326,16,8,7,0,445.724939,1
24,Telgu,['Home Insurance'],98,1,Telgu,11,Health Insurance,22.80835681,6,4,4,2,431.5447386,1
32,Hindi,"['Health Insurance', 'Life Insurance']",64,2,Hindi,37,Life Insurance,20.50001806,6,2,3,3,494.8084536,0
22,Hindi,['Education Insurance'],85,5,Hindi,1,Car Insurance,27.20353201,5,4,3,1,539.1966246,0
33,English,"['Education Insurance', 'Home Insurance']",38,2,English,34,Health Insurance,22.25343609,9,3,4,1,313.3692567,1
38,Hindi,"['Life Insurance', 'Car Insurance']",71,4,Hindi,9,Education Insurance,16.73597491,0,0,0,0,482.0751324,0
45,Telgu,"['Car Insurance', 'Education Insurance', 'Home Insurance']",34,1,Telgu,29,Life Insurance,18.21277259,4,0,0,3,412.5012308,0
28,Urdu,['Health Insurance'],21,1,Urdu,2,Health Insurance,27.83202098,8,2,3,0,470.474147,0
49,Telgu,"['Education Insurance', 'Home Insurance', 'Life Insurance']",48,2,Telgu,23,Education Insurance,31.49741531,10,5,8,0,389.5823268,1
39,English,"['Education Insurance', 'Car Insurance']",28,1,English,36,Life Insurance,22.17449956,6,4,2,0,484.2574211,0
25,Hindi,['Health Insurance'],24,1,Hindi,23,Education Insurance,17.76258073,2,0,0,0,345.5715818,0
39,Marathi,"['Health Insurance', 'Car Insurance']",99,7,Marathi,31,Education Insurance,28.43357989,9,3,2,0,389.1957282,0
47,Hindi,"['Car Insurance', 'Education Insurance', 'Home Insurance']",55,4,Hindi,25,Life Insurance,24.84600873,9,2,3,1,546.5458118,0
25,Telgu,['Health Insurance'],99,5,Telgu,31,Home Insurance,30.47799887,13,5,8,4,460.4930449,0
24,Telgu,['Life Insurance'],87,2,Telgu,11,Life Insurance,24.91034003,9,3,2,0,491.9597937,0
41,Marathi,"['Health Insurance', 'Home Insurance', 'Education Insurance']",23,1,Marathi,4,Education Insurance,26.28017089,9,4,4,0,529.9003096,1
26,Urdu,['Life Insurance'],26,1,Urdu,10,Car Insurance,29.13899997,5,4,2,0,619.8917522,0
25,Hindi,['Home Insurance'],56,2,Hindi,34,Health Insurance,28.22418578,9,3,2,0,496.9832049,0
49,Telgu,"['Health Insurance', 'Home Insurance', 'Life Insurance']",33,2,Telgu,5,Health Insurance,24.16340081,5,4,4,0,370.4170665,1
30,Marathi,"['Life Insurance', 'Car Insurance']",46,1,Marathi,34,Home Insurance,27.18820393,6,3,3,2,532.4232044,0
49,English,"['Home Insurance', 'Health Insurance', 'Education Insurance']",41,1,English,47,Home Insurance,13.3533115,4,1,1,0,437.9644364,0
40,Marathi,"['Health Insurance', 'Life Insurance', 'Education Insurance']",59,2,Marathi,34,Education Insurance,23.83304422,6,3,3,1,597.4359128,0
46,Hindi,"['Car Insurance', 'Life Insurance', 'Health Insurance']",67,5,Hindi,18,Health Insurance,16.91215123,3,0,1,1,441.7865935,0
48,Hindi,"['Life Insurance', 'Car Insurance', 'Home Insurance']",71,1,Hindi,25,Car Insurance,21.02804572,7,2,4,2,547.8830874,1
41,English,"['Life Insurance', 'Education Insurance', 'Car Insurance']",83,1,English,39,Health Insurance,24.23213639,8,2,3,1,565.4242711,0
29,Hindi,['Health Insurance'],27,1,Hindi,32,Car Insurance,25.33005927,5,2,3,0,377.3636073,0
24,Marathi,['Education Insurance'],85,2,Marathi,32,Home Insurance,32.06788174,13,6,7,1,313.3691189,1
40,Hindi,"['Car Insurance', 'Health Insurance', 'Education Insurance']",27,1,Hindi,4,Education Insurance,20.54965021,6,4,4,0,366.9046571,1
32,Hindi,"['Education Insurance', 'Health Insurance']",79,6,Hindi,18,Life Insurance,38.64466025,16,6,9,1,452.3621091,1
